Compound,Count,Date,Negative,Neutral,Positive,Tweet Text,User
0.0,35,Sun Jun 24 15:18:03 +0000 2018,0.0,1.0,0.0,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/HHjrHbsIb8",@BBC
0.5859,36,Sun Jun 24 14:29:47 +0000 2018,0.0,0.826,0.174,"RT @BBCMOTD: #ENG win 6-1 ✅
On a Sunday ✅
In the Sun ✅

Live scenes across England right now ☀🎉

#ENGPAN https://t.co/pOqaVykdHG",@BBC
0.0,37,Sun Jun 24 14:20:08 +0000 2018,0.0,1.0,0.0,"❤️💍 Game of Thrones stars, Rose Leslie and Kit Harington have tied the knot at a ceremony in Aberdeenshire.
👉… https://t.co/VzvDpNHgRO",@BBC
-0.4215,38,Sun Jun 24 13:03:02 +0000 2018,0.135,0.865,0.0,"💔🦍 Koko the gorilla sadly passed away this week, aged 46.

This is the story of her life. https://t.co/rIRb7mHpJx",@BBC
0.0,39,Sun Jun 24 12:02:03 +0000 2018,0.0,1.0,0.0,🐛 Did you know there's a whole world on the back of a sloth?  https://t.co/wRWmXa7j4R,@BBC
0.8268,40,Sun Jun 24 11:04:03 +0000 2018,0.0,0.688,0.312,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl",@BBC
0.2942,41,Sun Jun 24 10:52:39 +0000 2018,0.0,0.897,0.103,"RT @BBCWorld: ""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/…",@BBC
0.3612,42,Sun Jun 24 10:03:02 +0000 2018,0.0,0.783,0.217,"Getting ready for #ENG v #PAN like... ️⚽️🏆💪 @JKCorden #WorldCup 

https://t.co/EbID4RxLuE",@BBC
0.6269,43,Sun Jun 24 09:33:12 +0000 2018,0.0,0.745,0.255,"RT @BBC6Music: Ah, it seems so peaceful @GlastoFest this weekend. (via @bbcsomerset)  https://t.co/JzF0sbDEEh",@BBC
0.34,44,Sun Jun 24 09:04:05 +0000 2018,0.0,0.882,0.118,"Today, England play their first ever match against #WorldCup debutants Panama. 🦁🦁🦁

World Cup 2018: #ENG v #PAN | 1… https://t.co/rZLcc8qfZ8",@BBC
0.0,45,Sun Jun 24 08:37:50 +0000 2018,0.0,1.0,0.0,"RT @BBCWorld: New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt7…",@BBC
0.0,46,Sun Jun 24 08:20:08 +0000 2018,0.0,1.0,0.0,"What's happened since #BluePlanet2 first aired and what does Sir David Attenborough think about the response?
👉… https://t.co/Qo4Nu3wQHT",@BBC
0.3182,47,Sun Jun 24 07:01:05 +0000 2018,0.24,0.413,0.347,"⚽️❤️ I. Bloody. Love. Football. 
#WorldCup https://t.co/vrmHGAfFYY",@BBC
0.0,48,Sat Jun 23 20:12:00 +0000 2018,0.0,1.0,0.0,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/KwcWT38E6F",@BBC
0.0,49,Sat Jun 23 19:02:02 +0000 2018,0.0,1.0,0.0,"Live coverage of England's clash with New Zealand in Colorado, USA. 🏉

Rugby League: New Zealand v England | 9pm |… https://t.co/gNfWK4lAsg",@BBC
0.5719,50,Sat Jun 23 17:06:01 +0000 2018,0.0,0.821,0.179,☀️🙌 Thousands of people gathered at Stonehenge this week to watch the sunrise and celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,@BBC
0.7412,51,Sat Jun 23 16:02:02 +0000 2018,0.0,0.614,0.386,"⚽🐝 Goal!!!
These clever bumblebees have been taught to play football. https://t.co/00fEPKxEYQ",@BBC
0.4019,52,Sat Jun 23 15:00:27 +0000 2018,0.0,0.847,0.153,"📱♿️ This 13-year-old made an app to help disabled people find accessible services. 
(via @BBCThree) https://t.co/EkjrhQOFi3",@BBC
0.0,53,Sat Jun 23 14:02:01 +0000 2018,0.0,1.0,0.0,"Unlocking the hidden life of Frida Kahlo.
👉 https://t.co/g8KqGCs5JX https://t.co/SyRnFXRvNQ",@BBC
0.0,54,Sat Jun 23 12:57:05 +0000 2018,0.0,1.0,0.0,"🎶🎤Meet the stockbroker who writes hits for @LittleMix and @JessGlynne 

https://t.co/zYl0M4CHcj https://t.co/s8HYxwiDKr",@BBC
0.0,55,Sat Jun 23 12:00:16 +0000 2018,0.0,1.0,0.0,"🎶 SOUND ON 🎶 
Below the big blue there is green! 💚
#OurBluePlanet w/ @OceanX https://t.co/E46jJvtmrN",@BBC
0.0,56,Sat Jun 23 11:01:06 +0000 2018,0.0,1.0,0.0,"Faced with extreme weather, Bolivian farmers are going underground.
#BBCTakingTheTemperature https://t.co/ocATWI0jPL",@BBC
0.0,57,Sat Jun 23 10:02:04 +0000 2018,0.143,0.675,0.183,"The ban on microbeads in certain products has begun in England and Scotland.

Here are some natural alternatives so… https://t.co/vqESNyr5qD",@BBC
0.0,58,Sat Jun 23 09:01:05 +0000 2018,0.0,1.0,0.0,"😍🐿 Baby squirrels grow up so fast! 
#SuperSquirrels https://t.co/NzSE4lUIC8",@BBC
0.2732,59,Sat Jun 23 07:59:02 +0000 2018,0.0,0.86,0.14,There has been a significant fall in the number of cases of HPV following the introduction of a vaccine for young w… https://t.co/19trkIMZ91,@BBC
0.0,60,Sat Jun 23 07:22:00 +0000 2018,0.0,1.0,0.0,"♻️🌍Small actions can make a big difference. 
#PlasticsAction

https://t.co/AWXUYNJ4e3 https://t.co/9Khy2bq19Z",@BBC
0.6369,61,Fri Jun 22 19:11:28 +0000 2018,0.0,0.741,0.259,"RT @BBCBreakfast: So many reasons to love the #NorthEast of #England.
#Inventions https://t.co/xVseuMG347",@BBC
0.25,62,Fri Jun 22 19:11:15 +0000 2018,0.0,0.913,0.087,"RT @bbcworldservice: Born without a jaw, Isaiah Acosta has never spoken a word, yet he’s gone on to fulfil his dream of becoming a rapper.…",@BBC
0.0,63,Fri Jun 22 19:10:41 +0000 2018,0.0,1.0,0.0,"RT @bbcstories: Today marks 70 years since the arrival of Caribbean migrants on the Empire Windrush ship to the UK.

 Back in 2018, how has…",@BBC
0.7518,64,Fri Jun 22 19:10:14 +0000 2018,0.0,0.735,0.265,RT @BBCTwo: How long would it take you to demolish this AMAZING burger? 🍔😵 #MillionPoundMenu https://t.co/KH8VHK2rE6,@BBC
0.3612,65,Fri Jun 22 19:09:53 +0000 2018,0.0,0.902,0.098,"RT @BBCFOUR: With over 10,000 credits, Carol Kaye is one of the most prolific bassists of all time – and her bragging rights are *amazing*.…",@BBC
0.4215,66,Fri Jun 22 19:04:06 +0000 2018,0.0,0.833,0.167,"❤️🐿 Meet the sabre-toothed squirrel whose life was saved by an amateur dentist.
👉 https://t.co/C6gXwp7Yke https://t.co/fp3vGzEW5S",@BBC
-0.3182,67,Fri Jun 22 18:01:05 +0000 2018,0.15,0.85,0.0,"😂👛 Everyone has that one mate who always loses their purse... 
#HearHer #LiveAtTheApollo https://t.co/DinViMhGVm",@BBC
0.0,68,Fri Jun 22 17:00:21 +0000 2018,0.0,1.0,0.0,🐾🐶💕 Would you give a deaf dog a home? https://t.co/sjbsjOEzqT,@BBC
0.0,69,Fri Jun 22 16:01:00 +0000 2018,0.0,1.0,0.0,"When the weekend's so close you can almost touch it...  🙌 #FridayFeeling
 @Camila_Cabello https://t.co/eosSiBxZft",@BBC
0.0,70,Fri Jun 22 13:02:03 +0000 2018,0.0,1.0,0.0,"😂🎤 Hello, it's literally me... 
#HearHer https://t.co/7XMLDQMR3B",@BBC
0.0,71,Fri Jun 22 12:03:05 +0000 2018,0.0,1.0,0.0,Questions for a Sikh https://t.co/UhKZNiTRtC,@BBC
-0.34,72,Fri Jun 22 11:00:13 +0000 2018,0.211,0.789,0.0,"Why do only some people get blackout drunk?
👉 https://t.co/4C8KOCcSsU https://t.co/8S8axGO0F5",@BBC
0.0,73,Fri Jun 22 08:01:04 +0000 2018,0.0,1.0,0.0,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/SXJJG4hnMG",@BBC
0.6632,74,Fri Jun 22 07:28:05 +0000 2018,0.14,0.482,0.378,"'Always forgive your enemies; nothing annoys them so much.'

Oscar Wilde's best quotes.
👉 https://t.co/4ldEknyrSW https://t.co/vr8KdzXP89",@BBC
0.0,75,Fri Jun 22 07:00:04 +0000 2018,0.0,1.0,0.0,"'I wax my face every 2 weeks and haven't been able to get pregnant, but I won't let polycystic ovary syndrome defin… https://t.co/uyNbPpgeY7",@BBC
-0.2023,76,Thu Jun 21 19:03:04 +0000 2018,0.184,0.816,0.0,"😂 That time @NoelFielding11 confronted some rowdy teens…
#LiveAtTheApollo https://t.co/tV9SB4r8Yz",@BBC
0.0,77,Thu Jun 21 18:01:06 +0000 2018,0.0,1.0,0.0,📱 Is social media impacting how we express ourselves?  https://t.co/nADRuAW49x,@BBC
0.3134,78,Thu Jun 21 16:42:25 +0000 2018,0.062,0.811,0.127,"RT @bbcthree: What it feels like when you don't want your baby. #HearHer
(turn on your sound) https://t.co/7ErzX8p7Ag",@BBC
0.0,79,Thu Jun 21 16:01:04 +0000 2018,0.0,1.0,0.0,😍 The Scottish coast is incredible! https://t.co/pn2LdiZwdQ,@BBC
0.8074,80,Thu Jun 21 16:00:09 +0000 2018,0.0,0.687,0.313,"RT @BBCRadio4: Activist
Poet
Director
Actor
Writer...
...and inspiration
@Aardman Animations made a beautiful short film about Maya Angelou…",@BBC
-0.7506,81,Thu Jun 21 13:02:34 +0000 2018,0.314,0.686,0.0,"💔🦍 Koko the gorilla has sadly died, aged 46.

Here's the story of her life. https://t.co/rIRb7mHpJx",@BBC
0.0,82,Thu Jun 21 12:28:30 +0000 2018,0.0,1.0,0.0,"RT @BBCOne: In 1979, one surgeon was about to make NHS history by performing the UK's first heart transplant. https://t.co/HmUZBE5MLd",@BBC
0.0,83,Thu Jun 21 12:25:47 +0000 2018,0.0,1.0,0.0,"RT @bbcarts: Artistic Director at @royalcourt, @vicfeatherstone, has curated #Snatches - a series of provocative monologues, written and pe…",@BBC
0.7845,84,Thu Jun 21 12:01:06 +0000 2018,0.0,0.699,0.301,Tessa Sanderson was the first British woman to win an Olympic gold medal in the javelin. #HearHer https://t.co/Kqff1C4QSe,@BBC
0.0,85,Thu Jun 21 11:01:04 +0000 2018,0.0,1.0,0.0,"🥗 What's behind the rise in veganism?
👉 https://t.co/26dyqv3CWQ https://t.co/KZd2kBVkNW",@BBC
0.0,86,Thu Jun 21 09:55:19 +0000 2018,0.0,1.0,0.0,"❤️👶 New Zealand's Prime Minister Jacinda Ardern has given birth to a baby girl, making her only the second elected… https://t.co/7LDkCupd1c",@BBC
0.5719,87,Thu Jun 21 09:13:56 +0000 2018,0.0,0.791,0.209,☀️ Thousands of people have witnessed the sunrise at Stonehenge to celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,@BBC
-0.8979,88,Thu Jun 21 08:01:01 +0000 2018,0.442,0.558,0.0,"When a fire at a children's home in Guatemala killed dozens of teenage girls, it exposed a terrifying culture of ab… https://t.co/saKLWSu1NT",@BBC
0.6114,89,Thu Jun 21 07:45:57 +0000 2018,0.0,0.846,0.154,"☀️ Happy #SummerSolstice! 
Today has an average of 16h 39m of daylight in the UK - that's 8h 49m more than during t… https://t.co/Vg1QFQNU0r",@BBC
-0.5106,90,Thu Jun 21 07:27:03 +0000 2018,0.258,0.633,0.109,"🐸👀 Frogs trapped in amber for 99 million years are giving a glimpse of a lost world.
👉 https://t.co/FP7lgt3bLE https://t.co/W6F1W0PCtI",@BBC
0.6369,91,Thu Jun 21 07:01:04 +0000 2018,0.0,0.656,0.344,🎧🐦🎶 Five glorious minutes of a Caribbean dawn chorus. https://t.co/9t1PVkC4Kn,@BBC
0.5994,92,Wed Jun 20 20:02:08 +0000 2018,0.0,0.726,0.274,🎣 @realbobmortimer and Paul Whitehouse share their personal and hilarious life experiences while travelling around… https://t.co/NeZ1V04R74,@BBC
-0.4019,93,Wed Jun 20 18:00:25 +0000 2018,0.31,0.69,0.0,"🍷 @Rihanna. Wine glass stealer extraordinaire.
#TheGNShow https://t.co/no25tcxHJj",@BBC
0.4939,94,Wed Jun 20 17:32:05 +0000 2018,0.136,0.593,0.271,"Discover Porthcawl Elvis Festival, the largest Elvis festival in the world... 

Mad About Elvis | 7:30pm | @BBCOne… https://t.co/JBFFZhtPMD",@BBC
0.0,95,Wed Jun 20 16:00:26 +0000 2018,0.0,1.0,0.0,"Gaming addiction is listed as mental health condition for first time by @WHO.

How much is too much? https://t.co/hB16QHI6B8",@BBC
0.3182,96,Wed Jun 20 14:35:32 +0000 2018,0.0,0.905,0.095,"RT @bbcworldservice: How the promise of dance lessons can keep children in school. 
 
@SunkitYole is just one of the nominees for the Outlo…",@BBC
0.0,97,Wed Jun 20 13:05:22 +0000 2018,0.0,1.0,0.0,RT @bbcthesocial: Salih fled Syria and travelled all the way to Scotland. He designed a tattoo to illustrate his incredible journey 💙 #Worl…,@BBC
0.5562,98,Wed Jun 20 13:02:04 +0000 2018,0.0,0.848,0.152,A baby boy who was born on a Paris commuter train has been given free rail travel until he is 25! 👶🇫🇷🎉… https://t.co/XeAeCBBjLj,@BBC
0.7579,99,Wed Jun 20 12:00:21 +0000 2018,0.0,0.764,0.236,"100 years after women won the right to vote, are we really any closer to true gender equality in 2018? @BBCArts ask… https://t.co/qrc2yQ5WqF",@BBC
0.5574,0,Mon Jun 25 18:20:25 +0000 2018,0.0,0.796,0.204,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,@CBS
0.1867,1,Fri Jun 22 21:19:06 +0000 2018,0.0,0.902,0.098,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,@CBS
0.4199,2,Fri Jun 22 18:33:53 +0000 2018,0.0,0.811,0.189,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",@CBS
0.4926,3,Thu Jun 21 23:29:50 +0000 2018,0.0,0.758,0.242,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",@CBS
0.3555,4,Wed Jun 20 00:39:01 +0000 2018,0.136,0.642,0.222,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,@CBS
0.0,5,Mon Jun 18 20:27:50 +0000 2018,0.0,1.0,0.0,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,@CBS
0.0,6,Mon Jun 18 15:00:46 +0000 2018,0.0,1.0,0.0,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,@CBS
0.9392,7,Sun Jun 17 13:00:01 +0000 2018,0.0,0.507,0.493,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",@CBS
0.3595,8,Fri Jun 15 18:48:29 +0000 2018,0.0,0.872,0.128,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",@CBS
-0.296,9,Thu Jun 14 17:30:00 +0000 2018,0.167,0.833,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",@CBS
0.1779,10,Thu Jun 14 16:19:32 +0000 2018,0.12,0.734,0.147,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,@CBS
-0.5562,11,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",@CBS
0.5093,12,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",@CBS
-0.296,13,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",@CBS
0.0,14,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,@CBS
0.0,15,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,@CBS
0.4767,16,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,@CBS
0.8478,17,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,@CBS
0.92,18,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,@CBS
0.0,19,Mon Jun 11 02:58:30 +0000 2018,0.0,1.0,0.0,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",@CBS
0.4404,20,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,@CBS
0.836,21,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,@CBS
0.0,22,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,@CBS
0.6369,23,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,@CBS
0.7978,24,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,@CBS
0.9523,25,Mon Jun 11 02:44:37 +0000 2018,0.0,0.45,0.55,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,@CBS
0.5994,26,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,@CBS
0.4215,27,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",@CBS
0.8932,28,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,0.517,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,@CBS
0.0,29,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",@CBS
0.0,30,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,0.0,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,@CBS
0.8908,31,Mon Jun 11 02:11:03 +0000 2018,0.0,0.509,0.491,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,@CBS
0.0,32,Mon Jun 11 02:05:47 +0000 2018,0.0,1.0,0.0,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,@CBS
0.4926,33,Mon Jun 11 02:03:31 +0000 2018,0.0,0.738,0.262,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,@CBS
0.5093,34,Mon Jun 11 01:58:48 +0000 2018,0.0,0.477,0.523,@writerlindsayb You're welcome! #TonyAwards,@CBS
0.7579,35,Mon Jun 11 01:53:17 +0000 2018,0.0,0.435,0.565,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,@CBS
