City Name,Country Code,Random Lat,Random Lon,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
atbasar,kz,50.29000000007176,68.71000000008121,51.81,68.36,65.92,61,76,4.79
sinnamary,gf,10.640000000051486,-49.84999999997946,5.38,-52.96,80.86,95,88,10.6
marawi,sd,19.760000000056152,28.20000000006047,18.48,31.82,82.93,51,24,11.05
saint-philippe,re,-40.51999999997469,62.74000000007814,-21.36,55.77,68,60,0,6.93
karcag,hu,47.31000000007026,20.980000000056776,47.31,20.92,68,82,0,4.7
kulhudhuffushi,mv,6.480000000049358,67.60000000008063,6.62,73.07,83.83,97,80,19.1
saint-joseph,re,-29.02999999996881,56.10000000007474,-21.37,55.62,68,60,0,6.93
portree,gb,57.180000000075296,-6.919999999957497,57.41,-6.19,47.2,100,92,3.22
ilhabela,br,-25.509999999967008,-44.819999999976886,-23.78,-45.36,70.15,100,12,14.52
soligalich,ru,59.1700000000763,41.76000000006741,59.08,42.29,57.01,98,92,18.66
longyearbyen,sj,88.6600000000914,27.75000000006024,78.22,15.64,39.2,100,75,4.7
kolobrzeg,pl,54.39000000007388,15.73000000005409,54.18,15.58,56.02,83,0,8.14
sabratah,ly,32.610000000062726,12.31000000005234,32.79,12.49,72.67,100,0,7.25
volovo,ru,53.530000000073414,37.810000000065386,53.55,38.01,69.43,62,64,12.17
kalmunai,lk,4.580000000048386,87.22000000009066,7.42,81.82,82.75,79,32,8.81
kodino,ru,63.32000000007844,39.880000000066445,63.72,39.64,55.57,100,92,4.23
najran,sa,19.70000000005612,44.80000000006896,17.54,44.22,77,17,5,3.67
souillac,mu,-47.7799999999784,70.79000000008227,-20.52,57.52,66.2,88,20,6.93
mokrous,ru,50.95000000007212,47.710000000070465,51.24,47.51,71.68,38,20,4.79
dalvik,is,65.55000000007959,-18.549999999963447,65.97,-18.53,41,75,0,6.93
narva-joesuu,ee,59.89000000007667,28.310000000060526,59.46,28.04,59.53,72,48,13.29
piacabucu,br,-11.799999999959994,-35.51999999997213,-10.41,-36.43,71.77,95,88,7.02
nanortalik,gl,52.71000000007302,-42.67999999997579,60.14,-45.24,35.32,100,92,21.56
takoradi,gh,-5.109999999956571,-0.7399999999543354,4.89,-1.75,75.73,100,76,10.71
wagar,sd,16.070000000054264,35.79000000006435,16.15,36.2,72.31,84,0,10.04
garissa,ke,-1.0799999999545093,40.43000000006674,-0.46,39.64,69.97,86,8,8.7
druskininkai,lt,54.11000000007374,23.88000000005826,54.02,23.98,58.99,75,0,11.27
iracoubo,gf,4.820000000048509,-53.40999999998128,5.48,-53.21,77.71,80,32,5.12
chuy,uy,-49.349999999979204,-37.16999999997297,-33.69,-53.46,49.63,84,0,9.48
paamiut,gl,57.7500000000756,-54.18999999998168,61.99,-49.67,39.43,91,88,16.8
narsaq,gl,74.6100000000842,-68.70999999998911,60.91,-46.05,44.6,65,75,3.36
taoudenni,ml,23.030000000057825,-1.3599999999546526,22.68,-3.98,94.9,13,0,15.52
kruisfontein,za,-49.26999999997916,26.060000000059375,-34,24.73,55.12,90,0,10.04
pangnirtung,ca,61.6800000000776,-63.89999999998665,66.15,-65.72,31.72,97,76,2.21
berlevag,no,74.99000000008442,29.680000000061227,70.86,29.09,46.45,98,36,3.04
vallenar,cl,-28.85999999996872,-69.15999999998934,-28.58,-70.76,49.06,81,0,1.92
ilulissat,gl,70.82000000008227,-45.80999999997739,69.22,-51.1,44.6,52,75,4.7
pisco,pe,-16.509999999962403,-82.09999999999596,-13.71,-76.2,62.6,82,90,8.05
uyovu,tz,-3.469999999955732,31.670000000062245,-3.28,31.53,56.83,78,12,3.22
georgetown,sh,-7.439999999957763,-24.039999999966255,-7.93,-14.42,77.44,100,0,13.62
yining,cn,43.8700000000685,81.07000000008753,29.04,114.56,78.79,86,64,3.44
coquimbo,cl,-27.989999999968276,-85.3199999999976,-29.95,-71.34,51.8,87,90,3.36
hamina,fi,60.94000000007722,27.560000000060143,60.57,27.2,51.8,81,0,8.05
doha,qa,25.300000000058986,52.040000000072666,25.29,51.53,96.8,32,0,12.75
sisimiut,gl,66.35000000008,-55.23999999998222,66.94,-53.67,30.82,100,88,1.1
ainazi,lv,57.900000000075664,24.030000000058337,57.86,24.36,59.08,66,0,15.86
yabrud,sy,34.08000000006348,37.8400000000654,33.97,36.66,64.4,45,0,6.93
constitucion,cl,-34.689999999971704,-72.42999999999101,-35.33,-72.42,48.91,97,8,7.7
notre-dame-du-lac,ca,47.610000000070386,-68.85999999998918,47.61,-68.8,60.8,51,1,10.29
bani,do,16.010000000054234,-70.17999999998986,18.28,-70.33,80.32,100,44,11.5
ginir,et,7.750000000050008,41.27000000006717,7.14,40.71,55.57,86,0,4.56
huancavelica,pe,-13.079999999960648,-75.23999999999245,-12.79,-74.97,26.32,84,0,1.77
sorland,no,68.42000000008105,9.24000000005077,67.67,12.69,48.55,96,36,13.73
namwala,zm,-16.20999999996225,26.310000000059503,-15.75,26.45,49.72,87,0,5.01
carnarvon,au,-29.239999999968916,87.01000000009054,-24.87,113.63,60.97,100,0,13.06
moroni,km,-12.589999999960398,42.23000000006766,-11.7,43.26,79.15,100,56,12.73
saint-pierre,pm,39.23000000006613,-53.71999999998144,46.77,-56.17,45.1,94,80,19.15
iqaluit,ca,56.77000000007507,-69.24999999998938,63.75,-68.52,39.2,90,75,18.34
artyom,az,40.760000000066896,51.900000000072595,40.47,50.33,68,68,0,9.17
halifax,ca,41.07000000006707,-60.82999999998508,44.65,-63.58,62.53,55,75,6.93
morondava,mg,-20.56999999996448,43.58000000006834,-20.3,44.28,65.65,100,0,4.23
grindavik,is,60.25000000007685,-23.47999999996597,63.84,-22.43,43.75,81,75,6.93
marrakesh,ma,32.550000000062695,-7.639999999957865,31.63,-7.99,66.2,63,0,5.82
kpandae,gh,8.860000000050576,0.09000000004608921,8.46,-0.01,74.92,82,92,11.83
pemba,mz,-12.679999999960444,41.32000000006718,-12.97,40.52,71.6,88,40,4.7
carballo,es,45.54000000006934,-11.489999999959835,43.21,-8.69,63.54,88,0,2.48
muncie,us,40.28000000006665,-85.23999999999756,40.19,-85.39,72.39,83,1,5.79
massaranduba,br,-7.249999999957666,-35.78999999997227,-7.18,-35.73,69.8,88,75,6.93
namibe,ao,-17.239999999962777,9.930000000051123,-15.19,12.15,67.09,100,48,3.67
maceio,br,-16.929999999962618,-25.949999999967233,-9.67,-35.74,71.6,94,40,1.12
nouadhibou,mr,24.040000000058342,-19.269999999963815,20.93,-17.03,66.2,82,0,13.87
agadez,ne,18.110000000055308,8.890000000050591,16.97,7.99,85.27,36,76,12.28
sevierville,us,35.580000000064246,-83.67999999999677,35.87,-83.56,87.04,51,40,4.7
ugoofaaru,mv,5.700000000048959,68.1700000000809,5.67,73,83.29,98,88,15.19
dhidhdhoo,mv,6.960000000049604,74.62000000008422,6.88,73.1,83.83,97,80,19.1
mercedes,ar,-34.20999999997146,-64.52999999998697,-29.18,-58.08,59.8,89,0,11.83
turukhansk,ru,62.6900000000781,88.6300000000914,65.8,87.96,77.26,60,0,14.63
semey,kz,49.14000000007118,79.40000000008666,50.41,80.25,75.01,50,0,4.68
kilimatinde,tz,-6.2699999999571645,34.88000000006389,-5.75,34.82,53.95,90,0,4.12
phaltan,in,17.890000000055196,74.5800000000842,17.99,74.43,76.99,100,8,5.12
nuuk,gl,65.84000000007973,-50.619999999979854,64.17,-51.74,35.6,93,90,4.7
alanya,tr,35.90000000006441,32.120000000062475,36.55,32,67.36,100,56,3.22
konza,ke,-1.8099999999548828,37.15000000006505,-1.74,37.13,59,93,75,5.82
troitsk,ru,53.830000000073596,61.390000000077464,54.08,61.55,65.65,66,24,7.7
gouyave,gd,12.6200000000525,-63.10999999998624,12.16,-61.73,78.8,88,40,8.05
kondinskoye,ru,60.61000000007704,68.370000000081,59.65,67.41,58.09,95,12,3.67
diamantino,br,-12.779999999960495,-56.08999999998265,-14.4,-56.44,65.02,76,0,3.44
bathsheba,bb,17.130000000054807,-54.44999999998181,13.22,-59.52,78.8,78,40,18.34
crotone,it,37.6400000000653,18.010000000055257,39.09,17.12,51.8,93,90,25.28
havoysund,no,74.48000000008415,23.51000000005807,71,24.66,57.2,71,0,5.82
moron,ve,10.700000000051517,-68.22999999998886,10.49,-68.2,73.4,88,40,5.57
opuwo,na,-16.96999999996264,12.590000000052484,-18.06,13.84,40.27,50,0,2.66
ushtobe,kz,47.40000000007029,77.60000000008574,45.25,77.98,74.74,27,92,6.58
mitu,co,1.4900000000468054,-68.46999999998899,1.2,-70.17,70.6,100,92,2.44
zharkent,kz,43.45000000006826,79.73000000008682,44.17,80,67.9,44,80,0.98
hearst,ca,49.87000000007157,-84.36999999999712,49.69,-83.67,74.71,46,8,6.96
aljezur,pt,36.050000000064486,-11.04999999995961,37.31,-8.8,67,84,12,6.8
bonthe,sl,3.110000000047634,-15.399999999961835,7.53,-12.5,74.2,100,88,4.23
taltal,cl,-24.5199999999665,-76.52999999999311,-25.41,-70.49,47.02,86,0,1.43
mahibadhoo,mv,3.960000000048069,71.55000000008266,3.78,72.97,83.02,100,92,9.82
misratah,ly,33.020000000062936,16.280000000054372,32.38,15.09,67.72,100,0,5.12
harper,lr,2.9500000000475524,-7.729999999957911,4.38,-7.71,78.7,100,100,4.23
ati,td,14.540000000053482,18.400000000055456,13.21,18.34,78.07,72,76,13.51
cassilandia,br,-19.969999999964173,-52.24999999998069,-19.11,-51.73,65.2,71,36,7.14
rozkishne,ua,48.76000000007099,39.52000000006626,48.5,37.59,67.09,63,0,2.66
caravelas,br,-21.319999999964864,-26.869999999967703,-17.73,-39.27,75.82,100,24,19.33
rognan,no,67.17000000008039,15.420000000053932,67.1,15.4,48.2,87,75,4.7
vieux-habitants,gp,15.800000000054126,-62.76999999998607,16.06,-61.77,78.8,78,90,4.7
skelleftea,se,65.77000000007968,20.120000000056336,64.75,20.95,50,71,0,12.75
talcahuano,cl,-33.36999999997103,-78.44999999999409,-36.72,-73.12,53.6,93,90,4.7
poros,gr,37.58000000006527,23.55000000005809,40.11,21.53,51.07,97,20,2.55
gopalpur,in,19.13000000005583,84.9400000000895,25.6,86.94,90.31,68,0,8.03
elmina,gh,4.820000000048509,-1.2899999999546168,5.09,-1.35,76.81,100,92,15.3
bhimunipatnam,in,17.53000000005501,83.94000000008899,17.88,83.43,88.6,71,44,9.26
hammerfest,no,75.57000000008469,21.8100000000572,70.66,23.68,57.2,71,0,5.82
ambatolampy,mg,-19.289999999963825,47.31000000007026,-19.39,47.43,53.6,93,40,3.36
bizhbulyak,ru,53.490000000073394,54.2300000000738,53.69,54.27,72.85,51,56,6.13
ipinda,tz,-9.279999999958704,34.04000000006346,-9.48,33.88,50.89,91,0,1.1
atar,mr,19.590000000056065,-8.91999999995852,20.52,-13.05,88.66,25,0,8.75
tsumeb,na,-18.579999999963462,17.1200000000548,-19.25,17.72,40.99,57,0,3.56
vagur,fo,60.410000000076934,-6.7299999999574,61.47,-6.81,48.82,98,76,14.07
zaysan,kz,46.830000000070015,85.77000000008991,47.47,84.87,77.08,32,32,3.67
tarko-sale,ru,63.080000000078314,78.64000000008627,64.92,77.78,65.83,98,0,4.68
hamilton,bm,29.02000000006089,-65.54999999998749,32.3,-64.78,77,73,20,10.29
nsanje,mw,-17.529999999962925,34.36000000006362,-16.92,35.26,62.32,90,0,3
bonanza,ni,14.330000000053374,-84.7099999999973,14.03,-84.62,76.18,92,44,1.99
romodanovo,ru,54.500000000073925,45.47000000006932,54.42,45.33,70.69,53,36,10.71
rawson,ar,-51.50999999998031,-55.57999999998239,-43.3,-65.11,32.8,59,0,8.7
chapais,ca,54.590000000073985,-76.18999999999293,49.78,-74.86,68,40,20,6.93
urengoy,ru,66.31000000007998,79.81000000008686,65.96,78.37,69.25,100,24,3.67
letlhakane,bw,-21.149999999964777,25.820000000059252,-21.42,25.59,44.14,68,0,3.11
riyadh,sa,21.36000000005697,45.41000000006926,24.63,46.72,82.4,18,0,5.61
ripoll,es,42.28000000006767,2.150000000047143,42.2,2.19,60.8,82,20,1.12
shubarkuduk,kz,49.04000000007113,55.86000000007462,49.15,56.49,60.49,72,48,2.93
manaure,co,13.120000000052755,-73.16999999999139,11.78,-72.45,81.31,97,24,3.44
tutoia,br,1.1400000000466264,-41.809999999975346,-2.76,-42.27,73.57,98,8,6.02
matay,eg,27.77000000006025,29.39000000006108,28.42,30.79,70.87,54,0,8.48
oistins,bb,11.750000000052054,-55.25999999998223,13.07,-59.53,78.8,78,40,18.34
mangan,in,29.970000000061376,87.70000000009091,27.5,88.54,52.6,77,8,1.43
soyo,ao,-7.089999999957584,10.950000000051645,-6.13,12.37,71.95,89,76,3.67
dodola,et,6.6700000000494555,39.37000000006617,6.98,39.18,50.17,100,92,2.66
polyarnyy,ru,69.11000000008141,34.36000000006362,69.2,33.45,55.4,76,20,2.24
turochak,ru,51.36000000007232,87.37000000009073,52.26,87.12,68.8,71,0,3.11
timra,se,62.64000000007809,16.420000000054443,62.49,17.33,44.6,100,0,2.24
brigantine,us,36.84000000006489,-72.32999999999096,39.41,-74.36,75.18,78,1,5.82
ngama,td,11.560000000051957,17.280000000054883,11.78,17.17,72.67,92,92,14.07
bestobe,kz,53.24000000007328,72.83000000008332,52.5,73.1,64.39,76,0,9.04
temirtau,kz,50.00000000007162,72.94000000008336,50.05,72.96,59,77,20,8.25
dakar,sn,13.590000000052996,-18.079999999963206,14.69,-17.45,73.4,83,75,9.17
hun,ly,29.80000000006129,14.180000000053298,29.13,15.95,69.43,62,80,7.7
kotri,pk,25.27000000005897,68.24000000008095,25.36,68.31,87.7,69,0,14.63
nchelenge,zm,-9.399999999958766,27.450000000060086,-9.35,28.74,55.12,72,0,3.22
hambantota,lk,-1.1499999999545452,85.07000000008958,6.12,81.12,82.75,92,88,13.73
huarmey,pe,-11.769999999959978,-81.71999999999576,-10.07,-78.15,52.24,88,0,2.55
ous,ru,61.80000000007766,61.56000000007754,60.91,61.52,60.25,76,0,3.22
vyshestebliyevskaya,ru,45.110000000069135,37.00000000006497,45.2,37,64.4,77,0,11.18
vyartsilya,ru,61.99000000007777,30.300000000061544,62.18,30.69,50.53,93,92,19.77
bundibugyo,ug,0.6200000000463604,30.090000000061437,0.71,30.06,59.17,100,44,1.21
lodja,cd,-2.5699999999552716,21.890000000057242,-3.52,23.6,70.06,67,56,2.1
ust-kalmanka,ru,51.68000000007248,83.19000000008862,52.12,83.31,75.82,48,0,5.79
weligama,lk,3.530000000047849,79.40000000008666,5.97,80.42,81.76,89,92,11.72
akom,cm,2.5400000000473426,10.830000000051584,2.67,12.71,68.98,92,92,2.55
jaciara,br,-15.849999999962066,-54.649999999981915,-15.95,-54.98,66.37,59,48,4.56
kangaatsiaq,gl,69.29000000008148,-54.55999999998187,68.31,-53.46,33.97,91,92,8.25
mollendo,pe,-16.71999999996251,-71.89999999999074,-17.03,-72.02,52.42,97,8,2.55
alcains,pt,39.990000000066516,-7.3899999999577375,39.92,-7.46,64.57,78,12,2.77
lamu,ke,-4.959999999956494,44.83000000006899,-2.27,40.9,77.17,87,0,11.05
mao,td,14.3800000000534,13.860000000053134,14.12,15.31,76,76,0,16.2
victoria,sc,-8.03999999995807,61.21000000007734,-4.62,55.45,80.6,83,20,8.05
nevel,ru,55.96000000007467,30.170000000061478,56.02,29.92,59.17,75,12,12.17
shieli,kz,43.62000000006836,66.17000000007988,44.18,66.74,74.83,30,0,4.56
bonavista,ca,53.10000000007321,-47.84999999997844,48.65,-53.11,48.73,82,32,10.04
buraydah,sa,27.620000000060173,45.44000000006929,26.33,43.97,89.6,25,0,4.7
aksarayskiy,ru,48.02000000007061,48.510000000070875,46.79,48.01,66.2,55,0,2.24
matadi,cd,-5.689999999956868,14.080000000053246,-5.83,13.46,69.88,97,92,4
vilcun,cl,-38.54999999997368,-70.37999999998996,-38.65,-72.23,39.73,100,76,2.21
chastyye,ru,57.270000000075356,54.71000000007405,57.29,54.97,68.71,50,44,5.12
korla,cn,35.37000000006414,85.81000000008993,41.76,86.15,71.5,78,20,4
trairi,br,-2.8899999999554353,-39.419999999974124,-3.28,-39.27,81.4,99,32,16.64
carutapera,br,6.000000000049113,-42.94999999997593,-1.2,-46.02,74.11,100,64,5.68
vestmanna,fo,68.35000000008102,-9.159999999958643,62.16,-7.17,46.4,81,24,16.11
marquette,us,46.92000000007005,-86.00999999999796,46.54,-87.4,58.78,59,5,4.7
batsfjord,no,72.12000000008294,30.620000000061708,70.63,29.72,46.03,98,32,4.56
sorgun,tr,39.62000000006631,35.08000000006399,39.81,35.19,55.39,98,92,2.1
aktau,kz,50.130000000071675,74.3500000000841,43.65,51.16,66.2,48,0,6.71
cayenne,gf,7.410000000049834,-49.489999999979275,4.94,-52.33,77,94,92,2.24
villaviciosa,es,44.61000000006885,-5.02999999995653,43.48,-5.43,64.4,93,12,2.24
vianopolis,br,-16.65999999996248,-48.38999999997871,-16.74,-48.52,59.71,70,0,7.81
havelock,us,33.30000000006308,-75.39999999999253,34.88,-76.9,83.93,89,1,5.82
areni,am,39.55000000006629,45.18000000006916,39.72,45.19,69.8,46,40,4.7
krylovskaya,ru,46.43000000006981,40.17000000006658,46.32,39.96,65.47,51,0,2.66
abha,sa,18.6800000000556,42.57000000006781,18.22,42.5,69.8,19,0,0.43
luba,gq,1.2600000000466878,6.020000000049123,3.46,8.55,75.2,88,75,5.79
margate,za,-37.469999999973126,37.240000000065095,-30.86,30.37,63.67,94,56,4.56
itarema,br,2.740000000047445,-36.66999999997272,-2.92,-39.92,74.2,94,8,9.6
savinka,ru,49.430000000071345,47.26000000007022,50.08,47.1,74.29,53,0,3.11
bembereke,bj,10.710000000051522,2.470000000047307,10.23,2.66,72.58,88,88,9.48
saldanha,za,-47.16999999997809,-9.099999999958612,-33.01,17.94,51.8,93,12,3.36
ardabil,ir,38.30000000006564,48.26000000007073,38.25,48.3,53.59,87,0,1.1
tevriz,ru,58.48000000007596,73.33000000008354,57.51,72.4,55.57,94,76,4.23
birjand,ir,31.54000000006218,58.38000000007591,32.86,59.22,73.4,25,0,13.87
salinas,ec,-2.6499999999553125,-81.17999999999549,0.49,-78.13,42.52,85,12,1.99
qaqortoq,gl,61.83000000007769,-44.599999999976774,60.72,-46.03,44.6,65,75,3.36
goure,ne,15.040000000053737,10.700000000051517,13.98,10.27,81.04,61,8,18.66
bageshwar,in,30.04000000006141,79.78000000008686,29.85,79.77,66.37,74,0,1.99
hualmay,pe,-12.669999999960439,-79.70999999999474,-11.1,-77.61,54.67,96,32,2.77
severodvinsk,ru,64.97000000007927,38.860000000065924,64.56,39.82,53.6,100,40,4.47
arandis,na,-22.829999999965636,15.330000000053886,-22.42,14.98,50.71,85,8,2.77
iskateley,ru,69.65000000008166,55.70000000007454,67.68,53.15,46.75,74,8,11.83
nioki,cd,-2.619999999955297,18.15000000005533,-2.72,17.69,74.29,79,48,4
dudinka,ru,72.27000000008303,85.40000000008973,69.41,86.18,72.85,48,20,16.75
sept-iles,ca,53.50000000007341,-65.41999999998743,50.2,-66.38,55.4,58,20,11.41
akdepe,tm,42.20000000006763,57.68000000007555,42.05,59.39,65.28,48,0,2.24
concordia,ar,-30.719999999969673,-59.19999999998424,-31.4,-58.02,52.69,90,0,4.79
maragogi,br,-9.829999999958986,-33.75999999997123,-9.01,-35.22,75.55,80,92,10.16
sarankhola,bd,21.600000000057094,89.74000000009195,22.31,89.79,89.32,88,24,8.14
khorixas,na,-20.439999999964414,14.350000000053384,-20.37,14.96,39.73,76,0,2.66
bonfim,br,0.9000000000465036,-59.38999999998434,-20.33,-44.24,62.6,77,40,8.05
atasu,kz,49.62000000007143,70.18000000008195,48.68,71.64,70.51,53,0,4.56
gurgaon,in,28.430000000060588,77.07000000008549,28.47,77.03,87.8,52,40,4.7
sombrio,br,-28.969999999968778,-50.06999999997957,-29.11,-49.63,52.69,100,0,2.44
muzaffargarh,pk,30.100000000061442,71.27000000008252,30.08,71.19,91.4,59,20,6.93
loum,cm,4.88000000004854,9.560000000050934,4.72,9.72,66.01,98,92,3.22
gloucester,us,42.390000000067744,-70.08999999998981,37.41,-76.53,75.67,100,90,5.82
krasnovishersk,ru,61.85000000007767,58.12000000007578,60.4,57.08,62.23,77,0,4.45
kirovskiy,ru,45.65000000006938,48.87000000007106,45.09,133.51,68.8,83,32,3.11
trinidad,bo,-14.399999999961324,-64.25999999998683,-14.83,-64.9,62.77,85,24,3.11
wattegama,lk,3.3700000000477672,87.02000000009056,7.35,80.68,74.74,92,76,7.7
arucas,es,28.780000000060767,-15.38999999996183,28.12,-15.52,69.8,68,20,12.75
bouna,ci,8.960000000050627,-3.5899999999557934,9.27,-3,72.49,86,48,12.62
saint-michel-des-saints,ca,47.82000000007051,-73.93999999999178,46.68,-73.92,53.77,82,0,5.68
ewo,cg,-0.879999999954407,14.640000000053533,-0.88,14.81,68.17,92,76,4.23
gazanjyk,tm,41.500000000067274,56.75000000007509,39.24,55.52,71.23,70,0,8.14
baijiantan,cn,46.070000000069626,85.91000000009001,45.63,85.18,85.72,34,8,1.1
aasiaat,gl,71.04000000008239,-53.67999999998142,68.71,-52.87,36.13,100,80,9.71
saint-paul,re,-20.62999999996451,53.82000000007358,-21.01,55.27,68,72,64,8.05
luque,py,-25.25999999996688,-57.58999999998342,-25.27,-57.49,68,72,0,3.36
meteti,pa,8.660000000050474,-77.90999999999381,8.5,-77.98,72.22,100,88,3.56
warsaw,us,41.30000000006717,-86.01999999999796,41.24,-85.85,71.6,100,40,3.36
koungou,yt,-11.249999999959712,46.05000000006959,-12.73,45.2,78.8,78,0,10.29
lahan,np,26.960000000059836,86.3300000000902,26.71,86.48,79.15,91,36,2.1
xuddur,so,6.090000000049159,43.420000000068256,4.12,43.89,68.35,79,0,11.16
albany,us,42.250000000067644,-73.68999999999166,42.65,-73.75,66.04,49,40,3.36
voslobeni,ro,46.650000000069895,25.710000000059196,46.65,25.63,52.87,87,24,1.77
osorno,cl,-40.38999999997462,-74.39999999999202,-40.57,-73.14,29.65,85,0,3
praia,cv,6.880000000049563,-23.759999999966112,14.92,-23.51,71.6,78,75,11.41
yerkoy,tr,39.14000000006607,34.620000000063754,39.64,34.47,56.38,98,92,3.44
uyo,ng,4.9500000000485755,8.060000000050167,5.03,7.92,72.4,99,88,4.56
mehamn,no,73.32000000008355,27.800000000060265,71.03,27.85,50.8,85,48,3.56
sabha,ly,27.700000000060214,13.550000000052975,27.03,14.43,75.73,35,0,11.61
oxilithos,gr,38.5900000000658,24.140000000058393,38.58,24.12,72.13,78,24,9.71
zarasai,lt,55.76000000007457,26.160000000059426,55.73,26.25,58.09,74,0,13.73
uyuni,bo,-21.249999999964828,-67.1199999999883,-20.46,-66.82,19.93,59,0,2.21
husavik,is,74.23000000008403,-9.279999999958704,66.04,-17.34,41,75,0,6.93
conde,br,-12.3999999999603,-37.25999999997302,-11.81,-37.61,74.38,93,92,9.82
afrikanda,ru,67.27000000008047,32.860000000062854,67.44,32.78,56.29,81,80,3
